127.0.0.1 - - [24/Feb/2026:15:03:53 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [24/Feb/2026:15:03:57 +0530] "GET /WebProject01/index.jsp HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [24/Feb/2026:15:03:57 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [24/Feb/2026:15:05:32 +0530] "GET /WebProject01/index.jsp HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [24/Feb/2026:15:07:52 +0530] "GET /WebProject01/index.jsp HTTP/1.1" 200 400
0:0:0:0:0:0:0:1 - - [24/Feb/2026:15:07:55 +0530] "GET /WebProject01/index.jsp HTTP/1.1" 200 400
0:0:0:0:0:0:0:1 - - [24/Feb/2026:15:07:56 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [24/Feb/2026:15:08:42 +0530] "GET /WebProject01/index.jsp HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [24/Feb/2026:15:10:51 +0530] "GET /WebProject01/index.jsp HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [24/Feb/2026:15:12:29 +0530] "GET /WebProject01/index.jsp HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [24/Feb/2026:15:12:32 +0530] "GET /favicon.ico HTTP/1.1" 404 763
